State,Population
United States,331449520
Alabama,5024356
Alaska,733378
Arizona,7151507
Arkansas,3011555
California,39538245
Colorado,5773733
Connecticut,3605942
Delaware,989957
Florida,21538226
Georgia,10711937
Hawaii,1455273
Idaho,1839092
Illinois,12812545
Indiana,6785668
Iowa,3190372
Kansas,2937847
Kentucky,4505893
Louisiana,4657749
Maine,1362341
Maryland,6177213
Massachusetts,7029949
Michigan,10077325
Minnesota,5706504
Mississippi,2961288
Missouri,6154920
Montana,1084197
Nebraska,1961489
Nevada,3104624
New Hampshire,1377518
New Jersey,9289031
New Mexico,2117527
New York,20201230
North Carolina,10439414
North Dakota,779091
Ohio,11799374
Oklahoma,3959346
Oregon,4237291
Pennsylvania,13002689
Rhode Island,1097371
South Carolina,5118429
South Dakota,886677
Tennessee,6910786
Texas,29145428
Utah,3271614
Vermont,643085
Virginia,8631384
Washington,7705247
West Virginia,1793755
Wisconsin,5893725
Wyoming,576837
